panel,scenario,tier,year,entity,origin_region,destination_region,region,role,metric,value,x_value,y_value,minimum,maximum,unit,source_type,style
c,S1,low,2040,,,,SW,,regional_demand_met_pct,nan,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2040,,,,NW,,regional_demand_met_pct,nan,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2045,,,,NC,,regional_demand_met_pct,96.87441281751038,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2045,,,,NE,,regional_demand_met_pct,100.0,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2045,,,,EC,,regional_demand_met_pct,61.18114237984307,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2045,,,,CC,,regional_demand_met_pct,nan,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2045,,,,SC,,regional_demand_met_pct,70.54605953275745,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2045,,,,SW,,regional_demand_met_pct,nan,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2045,,,,NW,,regional_demand_met_pct,nan,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2050,,,,NC,,regional_demand_met_pct,91.35422186608162,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2050,,,,NE,,regional_demand_met_pct,100.0,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2050,,,,EC,,regional_demand_met_pct,60.77129256210459,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2050,,,,CC,,regional_demand_met_pct,nan,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2050,,,,SC,,regional_demand_met_pct,62.68763864863725,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2050,,,,SW,,regional_demand_met_pct,nan,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2050,,,,NW,,regional_demand_met_pct,nan,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2055,,,,NC,,regional_demand_met_pct,87.32426486148583,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2055,,,,NE,,regional_demand_met_pct,100.0,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2055,,,,EC,,regional_demand_met_pct,60.441357102123554,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2055,,,,CC,,regional_demand_met_pct,nan,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2055,,,,SC,,regional_demand_met_pct,56.516655129900776,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2055,,,,SW,,regional_demand_met_pct,nan,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2055,,,,NW,,regional_demand_met_pct,nan,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2060,,,,NC,,regional_demand_met_pct,84.21863949285616,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2060,,,,NE,,regional_demand_met_pct,100.0,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2060,,,,EC,,regional_demand_met_pct,56.27010562370949,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
