panel,scenario,year,k,candidate_ids,links,candidate_id,link,region,construction_cost_10k_cny_per_km,capacity_10kt_y_per_link,metric,value,x_value,unit,source_type,style,marker,capacity_relaxation_gain_mt_y,connector_gain_mt_y,capacity_reaches_connector
a,S3,2050,,,,,,NC,,,baseline_demand_satisfaction_pct,99.9999353180874,98.24520853186164,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2055,,,,,,NC,,,baseline_demand_satisfaction_pct,99.74076836917992,98.24520853186164,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2060,,,,,,NC,,,baseline_demand_satisfaction_pct,98.24520853186164,98.24520853186164,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2060,,,,,,NC,,,connector_gain_2060_pp,0.0,98.24520853186164,percentage points,regional_trajectories_audit,radial_gain_band,,,,
a,S3,2025,,,,,,SC,,,baseline_demand_satisfaction_pct,nan,49.240697749762575,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2030,,,,,,SC,,,baseline_demand_satisfaction_pct,33.968144323577214,49.240697749762575,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2035,,,,,,SC,,,baseline_demand_satisfaction_pct,28.828752286046893,49.240697749762575,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2040,,,,,,SC,,,baseline_demand_satisfaction_pct,28.46055298555145,49.240697749762575,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2045,,,,,,SC,,,baseline_demand_satisfaction_pct,27.448664427494304,49.240697749762575,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2050,,,,,,SC,,,baseline_demand_satisfaction_pct,25.225731401564403,49.240697749762575,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2055,,,,,,SC,,,baseline_demand_satisfaction_pct,23.560682169032408,49.240697749762575,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2060,,,,,,SC,,,baseline_demand_satisfaction_pct,22.263761474051112,49.240697749762575,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2060,,,,,,SC,,,connector_gain_2060_pp,26.976936275711463,49.240697749762575,percentage points,regional_trajectories_audit,radial_gain_band,,,,
a,S3,2025,,,,,,NW,,,baseline_demand_satisfaction_pct,nan,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2030,,,,,,NW,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2035,,,,,,NW,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2040,,,,,,NW,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2045,,,,,,NW,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2050,,,,,,NW,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2055,,,,,,NW,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2060,,,,,,NW,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2060,,,,,,NW,,,connector_gain_2060_pp,0.0,100.0,percentage points,regional_trajectories_audit,radial_gain_band,,,,
a,S3,2025,,,,,,SW,,,baseline_demand_satisfaction_pct,nan,99.9999681788601,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2030,,,,,,SW,,,baseline_demand_satisfaction_pct,99.99989193099422,99.9999681788601,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2035,,,,,,SW,,,baseline_demand_satisfaction_pct,99.9998343772756,99.9999681788601,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2040,,,,,,SW,,,baseline_demand_satisfaction_pct,99.9998995042534,99.9999681788601,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2045,,,,,,SW,,,baseline_demand_satisfaction_pct,99.99994043319695,99.9999681788601,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2050,,,,,,SW,,,baseline_demand_satisfaction_pct,99.9999617554902,99.9999681788601,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2055,,,,,,SW,,,baseline_demand_satisfaction_pct,99.99992607131604,99.9999681788601,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2060,,,,,,SW,,,baseline_demand_satisfaction_pct,99.9999681788601,99.9999681788601,%,regional_trajectories_audit,radial_year_bar,,,,
a,S3,2060,,,,,,SW,,,connector_gain_2060_pp,0.0,99.9999681788601,percentage points,regional_trajectories_audit,radial_gain_band,,,,
a,S4,2025,,,,,,NE,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S4,2030,,,,,,NE,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S4,2035,,,,,,NE,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
