scenario,tier,year,province_key,supply_10kt
base,mid,2025,江苏,12.04392863904
base,mid,2025,江西,8.474082760956
base,mid,2025,河北,112.8684626215
base,mid,2025,河南,26.39369296253
base,mid,2025,浙江,0.8302725596161
base,mid,2025,海南,2.991317349124
base,mid,2025,湖北,13.64348342791
base,mid,2025,湖南,19.15037681832
base,mid,2025,甘肃,86.26073717587
base,mid,2025,福建,0
base,mid,2025,西藏,16.08768591622
base,mid,2025,贵州,12.85981034489
base,mid,2025,辽宁,33.35094620209
base,mid,2025,重庆,0
base,mid,2025,陕西,35.8170385815
base,mid,2025,青海,111.5778280558
base,mid,2025,黑龙江,27.37151708563
base,mid,2030,上海,0
base,mid,2030,云南,101.396127199
base,mid,2030,内蒙古,431.011275526
base,mid,2030,北京,0.2569526549965
base,mid,2030,吉林,52.68760723125
base,mid,2030,四川,10.03653837641
base,mid,2030,天津,5.956329623732
base,mid,2030,宁夏,89.10909474527
base,mid,2030,安徽,10.96208887241
base,mid,2030,山东,72.26106910109
base,mid,2030,山西,74.50277020047
base,mid,2030,广东,11.60918249562
base,mid,2030,广西,32.8928303629
base,mid,2030,新疆,411.9231764279
base,mid,2030,江苏,20.50437515824
base,mid,2030,江西,14.55078186795
base,mid,2030,河北,196.3338928122
base,mid,2030,河南,44.45129320172
base,mid,2030,浙江,1.384971050488
base,mid,2030,海南,5.325336528533
base,mid,2030,湖北,24.77448191556
base,mid,2030,湖南,32.44024445524
base,mid,2030,甘肃,153.6498120613
base,mid,2030,福建,0
base,mid,2030,西藏,29.57433770166
base,mid,2030,贵州,23.73531524833
base,mid,2030,辽宁,56.40703474338
base,mid,2030,重庆,0
base,mid,2030,陕西,64.6199137265
base,mid,2030,青海,205.7963455165
base,mid,2030,黑龙江,46.77083335338
base,mid,2035,上海,0
base,mid,2035,云南,158.1589689449
base,mid,2035,内蒙古,669.0084575426
base,mid,2035,北京,0.3982720998127
base,mid,2035,吉林,81.62108039592
base,mid,2035,四川,15.61009402181
base,mid,2035,天津,9.279712145871
base,mid,2035,宁夏,138.8823078146
base,mid,2035,安徽,17.07345798735
base,mid,2035,山东,112.2436798045
base,mid,2035,山西,115.5491951853
base,mid,2035,广东,17.99813668933
base,mid,2035,广西,51.05864009441
base,mid,2035,新疆,641.4502323919
base,mid,2035,江苏,31.79174546168
base,mid,2035,江西,22.57743851739
base,mid,2035,河北,304.974536176
base,mid,2035,河南,68.85619204126
base,mid,2035,浙江,2.143543056916
base,mid,2035,海南,8.288132147617
base,mid,2035,湖北,38.6203584581
base,mid,2035,湖南,50.27629111781
base,mid,2035,甘肃,239.1448224524
base,mid,2035,福建,0
base,mid,2035,西藏,46.14829280662
base,mid,2035,贵州,37.04878808319
base,mid,2035,辽宁,87.40835173231
base,mid,2035,重庆,0
base,mid,2035,陕西,100.6817591165
base,mid,2035,青海,321.2127490698
base,mid,2035,黑龙江,72.54060116055
base,mid,2040,上海,0
base,mid,2040,云南,200.6670422528
base,mid,2040,内蒙古,926.3651443519
base,mid,2040,北京,0.5648821180907
base,mid,2040,吉林,116.8049030951
base,mid,2040,四川,20.86741331013
base,mid,2040,天津,12.03430636548
base,mid,2040,宁夏,178.8315946047
base,mid,2040,安徽,22.26001607035
base,mid,2040,山东,153.4962078071
base,mid,2040,山西,162.1971702164
base,mid,2040,广东,25.42984885915
base,mid,2040,广西,70.63035725419
base,mid,2040,新疆,839.150201377
base,mid,2040,江苏,44.84623872898
base,mid,2040,江西,31.4531593339
base,mid,2040,河北,416.8813605015
base,mid,2040,河南,98.67030006828
base,mid,2040,浙江,3.11472052745
base,mid,2040,海南,10.94952695595
base,mid,2040,湖北,49.54723529598
base,mid,2040,湖南,71.4394255094
base,mid,2040,甘肃,315.6847092556
base,mid,2040,福建,0
base,mid,2040,西藏,58.13018645536
base,mid,2040,贵州,46.38983985449
base,mid,2040,辽宁,124.485755895
base,mid,2040,重庆,0
base,mid,2040,陕西,130.411422999
base,mid,2040,青海,402.6159430907
base,mid,2040,黑龙江,101.7800125773
base,mid,2045,上海,0
base,mid,2045,云南,230.0933149864
base,mid,2045,内蒙古,1128.38614402
base,mid,2045,北京,0.6985498617771
base,mid,2045,吉林,145.2376025193
base,mid,2045,四川,24.83357511113
base,mid,2045,天津,14.02134788486
base,mid,2045,宁夏,207.2935110214
base,mid,2045,安徽,26.03437746292
base,mid,2045,山东,185.4647259002
base,mid,2045,山西,199.2877262909
base,mid,2045,广东,31.37288140206
base,mid,2045,广西,85.97886183378
base,mid,2045,新疆,983.7939063099
base,mid,2045,江苏,55.27114180093
base,mid,2045,江西,38.46143279579
base,mid,2045,河北,503.5628303045
base,mid,2045,河南,122.7891068512
base,mid,2045,浙江,3.908599151259
base,mid,2045,海南,12.92538560649
base,mid,2045,湖北,57.27970696777
base,mid,2045,湖南,88.44405774071
base,mid,2045,甘肃,372.4442137219
base,mid,2045,福建,0
base,mid,2045,西藏,66.29501701008
base,mid,2045,贵州,52.66647573801
base,mid,2045,辽宁,154.3333542899
base,mid,2045,重庆,0
base,mid,2045,陕西,151.8133979554
base,mid,2045,青海,457.4506715143
base,mid,2045,黑龙江,125.0193742702
base,mid,2050,上海,0
base,mid,2050,云南,239.6937979781
base,mid,2050,内蒙古,1228.771762198
base,mid,2050,北京,0.7686410122272
base,mid,2050,吉林,160.4028991975
base,mid,2050,四川,26.59960422212
base,mid,2050,天津,14.7854413978
base,mid,2050,宁夏,217.7450815681
base,mid,2050,安徽,27.53152427524
base,mid,2050,山东,200.8226065608
base,mid,2050,山西,218.3203539953
base,mid,2050,广东,34.46519477422
base,mid,2050,广西,93.5865439219
base,mid,2050,新疆,1042.231529406
base,mid,2050,江苏,60.67724847312
base,mid,2050,江西,41.99608469483
base,mid,2050,河北,545.1530625134
base,mid,2050,河南,135.6850019737
base,mid,2050,浙江,4.343235775444
base,mid,2050,海南,13.7628757118
base,mid,2050,湖北,60.04562564952
base,mid,2050,湖南,97.3930222889
base,mid,2050,甘肃,396.4150460578
base,mid,2050,福建,0
base,mid,2050,西藏,68.77154752166
base,mid,2050,贵州,54.44020011492
base,mid,2050,辽宁,170.1105972467
base,mid,2050,重庆,0
base,mid,2050,陕西,159.9827241026
base,mid,2050,青海,473.1497696906
base,mid,2050,黑龙江,136.9326293196
base,mid,2055,上海,0
base,mid,2055,云南,245.0331157037
base,mid,2055,内蒙古,1299.536328255
base,mid,2055,北京,0.8190942626529
base,mid,2055,吉林,171.3882595184
base,mid,2055,四川,27.7862788479
base,mid,2055,天津,15.26056300209
base,mid,2055,宁夏,224.0627323267
base,mid,2055,安徽,28.47928562069
base,mid,2055,山东,211.49875873
base,mid,2055,山西,231.9082246953
base,mid,2055,广东,36.68463851099
base,mid,2055,广西,98.94397570528
base,mid,2055,新疆,1079.603912502
base,mid,2055,江苏,64.55241482252
base,mid,2055,江西,44.5026028625
base,mid,2055,河北,574.0495130853
base,mid,2055,河南,145.0348176181
base,mid,2055,浙江,4.66104387625
base,mid,2055,海南,14.3121936511
base,mid,2055,湖北,61.6892323309
base,mid,2055,湖南,103.8433948168
base,mid,2055,甘肃,412.108629546
base,mid,2055,福建,0
base,mid,2055,西藏,70.06773615608
base,mid,2055,贵州,55.30793177479
base,mid,2055,辽宁,181.5014156572
base,mid,2055,重庆,0
base,mid,2055,陕西,165.040243329
base,mid,2055,青海,480.9316590057
base,mid,2055,黑龙江,145.4345569788
base,mid,2060,上海,0
base,mid,2060,云南,246.178905707
base,mid,2060,内蒙古,1341.150017621
base,mid,2060,北京,0.8502213257532
base,mid,2060,吉林,178.2600316779
base,mid,2060,四川,28.40279509141
base,mid,2060,天津,15.45129955342
base,mid,2060,宁夏,226.3120810716
base,mid,2060,安徽,28.88638190352
base,mid,2060,山东,217.5674955585
base,mid,2060,山西,240.1377631053
base,mid,2060,广东,38.04506768593
base,mid,2060,广西,102.0868754427
base,mid,2060,新疆,1096.245424485
base,mid,2060,江苏,66.92094148917
base,mid,2060,江西,45.99730688181
base,mid,2060,河北,590.4536706176
base,mid,2060,河南,150.89484076
base,mid,2060,浙江,4.863877874683
base,mid,2060,海南,14.57791358576
base,mid,2060,湖北,62.22834148809
base,mid,2060,湖南,107.8348355152
base,mid,2060,甘肃,419.656349089
base,mid,2060,福建,0
base,mid,2060,西藏,70.20231849869
base,mid,2060,贵州,55.28405155442
base,mid,2060,辽宁,188.575435308
base,mid,2060,重庆,0
base,mid,2060,陕西,167.035349395
base,mid,2060,青海,480.9220094416
base,mid,2060,黑龙江,150.5793053016
