scenario,tier,year,region,demand_methanol_10kt,local_direct_methanol_10kt,pipeline_served_methanol_10kt,served_methanol_10kt,unserved_methanol_10kt,demand_met_pct,pipeline_share_pct
S2,mid,2035,NE,2.937714617232,2.937714617232,0,2.937714617232,0,100,0
S2,mid,2035,NW,14.27772956902,14.27772956902,0,14.27772956902,0,100,0
S2,mid,2035,SC,89.72149717292,46.66933161396,0,46.66933161396,43.05216555896,52.01577446263,0
S2,mid,2035,SW,59.51547372203,59.51547372203,0,59.51547372203,0,100,0
S2,mid,2040,CC,191.921604585,191.921604585,0,191.921604585,0,100,0
S2,mid,2040,EC,326.1170099178,136.5454249854,64.017,200.5624249854,125.5545849324,61.50014224525,31.91874051416
S2,mid,2040,NC,106.4485777079,61.7134540458,0,61.7134540458,44.73512366212,57.97489771553,0
S2,mid,2040,NE,4.972670911752,4.972670911752,0,4.972670911752,0,100,0
S2,mid,2040,NW,24.16791954442,24.16791954442,0,24.16791954442,0,100,0
S2,mid,2040,SC,151.8716203859,73.96159396829,0,73.96159396829,77.91002641765,48.70007561672,0
S2,mid,2040,SW,100.7418703099,100.7418703099,0,100.7418703099,0,100,0
S2,mid,2045,CC,287.0339093371,256.1130166438,30.92,287.0330166438,0.0008926933100213,99.99968899378,10.77227991453
S2,mid,2045,EC,487.7337309702,175.8283185201,114.801,290.6293185201,197.1044124501,59.58770125288,39.50083239523
S2,mid,2045,NC,159.2022506739,88.17415881867,0,88.17415881867,71.02809185526,55.38499515265,0
S2,mid,2045,NE,7.43702187533,7.43702187533,0,7.43702187533,0,100,0
S2,mid,2045,NW,36.14503141728,36.14503141728,0,36.14503141728,0,100,0
S2,mid,2045,SC,227.1359965493,103.9559371542,0,103.9559371542,123.1800593951,45.76814716007,0
S2,mid,2045,SW,150.6674192909,150.6674192909,0,150.6674192909,0,100,0
S2,mid,2050,CC,399.3070069272,293.1236499121,106.181,399.3046499121,0.002357015059971,99.99940972359,26.59147596287
S2,mid,2050,EC,678.5104127277,207.100376206,184.605,391.705376206,286.8050365217,57.7301937978,47.1285336413
S2,mid,2050,NC,221.4740911953,117.7399224122,0,117.7399224122,103.7341687831,53.16193951931,0
S2,mid,2050,NE,10.34600738411,10.34600738411,0,10.34600738411,0,100,0
