scenario,tier,year,sector,composition_share,component_demand_10kt,scenario_semantics
S3,mid,2055,B,0,0,single-sector dynamic demand
S3,mid,2055,C,1,738.0428571429,single-sector dynamic demand
S3,mid,2055,D,0,0,single-sector dynamic demand
S3,mid,2060,A,0,0,single-sector dynamic demand
S3,mid,2060,B,0,0,single-sector dynamic demand
S3,mid,2060,C,1,810,single-sector dynamic demand
S3,mid,2060,D,0,0,single-sector dynamic demand
S4,high,2025,A,0,0,single-sector dynamic demand
S4,high,2025,B,0,0,single-sector dynamic demand
S4,high,2025,C,0,0,single-sector dynamic demand
S4,high,2025,D,1,12.6,single-sector dynamic demand
S4,high,2030,A,0,0,single-sector dynamic demand
S4,high,2030,B,0,0,single-sector dynamic demand
S4,high,2030,C,0,0,single-sector dynamic demand
S4,high,2030,D,1,252,single-sector dynamic demand
S4,high,2035,A,0,0,single-sector dynamic demand
S4,high,2035,B,0,0,single-sector dynamic demand
S4,high,2035,C,0,0,single-sector dynamic demand
S4,high,2035,D,1,523.6494297184,single-sector dynamic demand
S4,high,2040,A,0,0,single-sector dynamic demand
S4,high,2040,B,0,0,single-sector dynamic demand
S4,high,2040,C,0,0,single-sector dynamic demand
S4,high,2040,D,1,840.3483539625,single-sector dynamic demand
S4,high,2045,A,0,0,single-sector dynamic demand
S4,high,2045,B,0,0,single-sector dynamic demand
S4,high,2045,C,0,0,single-sector dynamic demand
S4,high,2045,D,1,1177.402942313,single-sector dynamic demand
S4,high,2050,A,0,0,single-sector dynamic demand
S4,high,2050,B,0,0,single-sector dynamic demand
S4,high,2050,C,0,0,single-sector dynamic demand
S4,high,2050,D,1,1512.43403927,single-sector dynamic demand
S4,high,2055,A,0,0,single-sector dynamic demand
S4,high,2055,B,0,0,single-sector dynamic demand
S4,high,2055,C,0,0,single-sector dynamic demand
S4,high,2055,D,1,1825.638226245,single-sector dynamic demand
S4,high,2060,A,0,0,single-sector dynamic demand
S4,high,2060,B,0,0,single-sector dynamic demand
S4,high,2060,C,0,0,single-sector dynamic demand
S4,high,2060,D,1,2100,single-sector dynamic demand
S4,low,2025,A,0,0,single-sector dynamic demand
S4,low,2025,B,0,0,single-sector dynamic demand
S4,low,2025,C,0,0,single-sector dynamic demand
S4,low,2025,D,1,0,single-sector dynamic demand
S4,low,2030,A,0,0,single-sector dynamic demand
S4,low,2030,B,0,0,single-sector dynamic demand
S4,low,2030,C,0,0,single-sector dynamic demand
S4,low,2030,D,1,42,single-sector dynamic demand
S4,low,2035,A,0,0,single-sector dynamic demand
S4,low,2035,B,0,0,single-sector dynamic demand
S4,low,2035,C,0,0,single-sector dynamic demand
S4,low,2035,D,1,101.3363336397,single-sector dynamic demand
S4,low,2040,A,0,0,single-sector dynamic demand
S4,low,2040,B,0,0,single-sector dynamic demand
S4,low,2040,C,0,0,single-sector dynamic demand
S4,low,2040,D,1,177.3767560664,single-sector dynamic demand
S4,low,2045,A,0,0,single-sector dynamic demand
S4,low,2045,B,0,0,single-sector dynamic demand
S4,low,2045,C,0,0,single-sector dynamic demand
S4,low,2045,D,1,259.8165919152,single-sector dynamic demand
S4,low,2050,A,0,0,single-sector dynamic demand
S4,low,2050,B,0,0,single-sector dynamic demand
S4,low,2050,C,0,0,single-sector dynamic demand
S4,low,2050,D,1,336.2668875772,single-sector dynamic demand
S4,low,2055,A,0,0,single-sector dynamic demand
S4,low,2055,B,0,0,single-sector dynamic demand
S4,low,2055,C,0,0,single-sector dynamic demand
S4,low,2055,D,1,393.6583798238,single-sector dynamic demand
S4,low,2060,A,0,0,single-sector dynamic demand
S4,low,2060,B,0,0,single-sector dynamic demand
S4,low,2060,C,0,0,single-sector dynamic demand
S4,low,2060,D,1,420,single-sector dynamic demand
S4,mid,2025,A,0,0,single-sector dynamic demand
S4,mid,2025,B,0,0,single-sector dynamic demand
S4,mid,2025,C,0,0,single-sector dynamic demand
S4,mid,2025,D,1,4.2,single-sector dynamic demand
S4,mid,2030,A,0,0,single-sector dynamic demand
S4,mid,2030,B,0,0,single-sector dynamic demand
S4,mid,2030,C,0,0,single-sector dynamic demand
S4,mid,2030,D,1,126,single-sector dynamic demand
S4,mid,2035,A,0,0,single-sector dynamic demand
S4,mid,2035,B,0,0,single-sector dynamic demand
S4,mid,2035,C,0,0,single-sector dynamic demand
S4,mid,2035,D,1,292.5066965452,single-sector dynamic demand
S4,mid,2040,A,0,0,single-sector dynamic demand
S4,mid,2040,B,0,0,single-sector dynamic demand
S4,mid,2040,C,0,0,single-sector dynamic demand
S4,mid,2040,D,1,505.0362478155,single-sector dynamic demand
S4,mid,2045,A,0,0,single-sector dynamic demand
S4,mid,2045,B,0,0,single-sector dynamic demand
S4,mid,2045,C,0,0,single-sector dynamic demand
S4,mid,2045,D,1,738.155722728,single-sector dynamic demand
S4,mid,2050,A,0,0,single-sector dynamic demand
S4,mid,2050,B,0,0,single-sector dynamic demand
S4,mid,2050,C,0,0,single-sector dynamic demand
S4,mid,2050,D,1,962.2677715768,single-sector dynamic demand
S4,mid,2055,A,0,0,single-sector dynamic demand
S4,mid,2055,B,0,0,single-sector dynamic demand
S4,mid,2055,C,0,0,single-sector dynamic demand
S4,mid,2055,D,1,1146.141338127,single-sector dynamic demand
S4,mid,2060,A,0,0,single-sector dynamic demand
S4,mid,2060,B,0,0,single-sector dynamic demand
S4,mid,2060,C,0,0,single-sector dynamic demand
S4,mid,2060,D,1,1260,single-sector dynamic demand
S5,high,2025,A,0.3907894736842,23.21289473684,exact sum of S1-S4; no second weighting
S5,high,2025,B,0.5263157894737,42.10526315789,exact sum of S1-S4; no second weighting
S5,high,2025,C,0,0,exact sum of S1-S4; no second weighting
S5,high,2025,D,0.08289473684211,1.044473684211,exact sum of S1-S4; no second weighting
S5,high,2030,A,0.2725395732966,107.9256710255,exact sum of S1-S4; no second weighting
S5,high,2030,B,0.2752924982794,110.1169993118,exact sum of S1-S4; no second weighting
S5,high,2030,C,0.2787336545079,112.8871300757,exact sum of S1-S4; no second weighting
S5,high,2030,D,0.173434273916,43.70543702684,exact sum of S1-S4; no second weighting
S5,high,2035,A,0.2655878722695,207.3621058127,exact sum of S1-S4; no second weighting
S5,high,2035,B,0.2918094911417,250.3293327912,exact sum of S1-S4; no second weighting
S5,high,2035,C,0.2644764708369,205.6302471025,exact sum of S1-S4; no second weighting
S5,high,2035,D,0.1781261657519,93.27566511393,exact sum of S1-S4; no second weighting
S5,high,2040,A,0.266736374253,329.9152913015,exact sum of S1-S4; no second weighting
S5,high,2040,B,0.3061400584353,434.5885498171,exact sum of S1-S4; no second weighting
S5,high,2040,C,0.2458971956339,280.378759401,exact sum of S1-S4; no second weighting
S5,high,2040,D,0.1812263716778,152.293283134,exact sum of S1-S4; no second weighting
S5,high,2045,A,0.269204725418,471.7723141883,exact sum of S1-S4; no second weighting
S5,high,2045,B,0.3210407858595,670.9459144175,exact sum of S1-S4; no second weighting
S5,high,2045,C,0.2288880348655,341.0462464571,exact sum of S1-S4; no second weighting
S5,high,2045,D,0.1808664538569,212.9526949368,exact sum of S1-S4; no second weighting
S5,high,2050,A,0.2704228647618,622.4254405101,exact sum of S1-S4; no second weighting
S5,high,2050,B,0.3376177669918,970.1772870975,exact sum of S1-S4; no second weighting
S5,high,2050,C,0.214264074253,390.7502229489,exact sum of S1-S4; no second weighting
S5,high,2050,D,0.1776952939933,268.7524112536,exact sum of S1-S4; no second weighting
S5,high,2055,A,0.2684594561318,762.445621989,exact sum of S1-S4; no second weighting
S5,high,2055,B,0.3568693068161,1347.3172108,exact sum of S1-S4; no second weighting
S5,high,2055,C,0.2021020482175,432.1085830118,exact sum of S1-S4; no second weighting
S5,high,2055,D,0.1725691888346,315.0489078086,exact sum of S1-S4; no second weighting
S5,high,2060,A,0.2612826603325,862.2327790974,exact sum of S1-S4; no second weighting
S5,high,2060,B,0.3800475059382,1824.228028504,exact sum of S1-S4; no second weighting
S5,high,2060,C,0.1923990498812,467.5296912114,exact sum of S1-S4; no second weighting
S5,high,2060,D,0.166270783848,349.1686460808,exact sum of S1-S4; no second weighting
S5,low,2025,A,0.4520547945205,2.983561643836,exact sum of S1-S4; no second weighting
S5,low,2025,B,0.5479452054795,4.383561643836,exact sum of S1-S4; no second weighting
S5,low,2025,C,0,0,exact sum of S1-S4; no second weighting
S5,low,2025,D,0,0,exact sum of S1-S4; no second weighting
S5,low,2030,A,0.306976744186,20.26046511628,exact sum of S1-S4; no second weighting
S5,low,2030,B,0.3720930232558,29.76744186047,exact sum of S1-S4; no second weighting
S5,low,2030,C,0.1255813953488,3.390697674419,exact sum of S1-S4; no second weighting
S5,low,2030,D,0.1953488372093,8.204651162791,exact sum of S1-S4; no second weighting
S5,low,2035,A,0.2758935596323,37.34070197969,exact sum of S1-S4; no second weighting
S5,low,2035,B,0.4169977122567,85.30346995789,exact sum of S1-S4; no second weighting
S5,low,2035,C,0.1005394011891,4.958746894362,exact sum of S1-S4; no second weighting
S5,low,2035,D,0.206569326922,20.93297823269,exact sum of S1-S4; no second weighting
S5,low,2040,A,0.2553568354948,55.02456697387,exact sum of S1-S4; no second weighting
S5,low,2040,B,0.4507907250061,171.4792604396,exact sum of S1-S4; no second weighting
S5,low,2040,C,0.08365130772348,5.904826310332,exact sum of S1-S4; no second weighting
S5,low,2040,D,0.2102011317755,37.28479487583,exact sum of S1-S4; no second weighting
S5,low,2045,A,0.2428557736661,74.60824732152,exact sum of S1-S4; no second weighting
S5,low,2045,B,0.4803752521045,291.91151226,exact sum of S1-S4; no second weighting
S5,low,2045,C,0.07138010226305,6.445317319629,exact sum of S1-S4; no second weighting
S5,low,2045,D,0.2053888719664,53.36343673161,exact sum of S1-S4; no second weighting
S5,low,2050,A,0.2361144108565,97.12342939112,exact sum of S1-S4; no second weighting
