scenario,tier,year,demand_10kt,supply_10kt,local_direct_10kt,pipeline_served_10kt,served_10kt,unserved_10kt,demand_met_pct,pipeline_tonne_km,edges_used,max_edge_util_pct,min_cost_objective,active_segments,capacity_factor,connector_count
S6,mid,2050,1413.9510420007116,5924.5836516424615,879.7229830520454,92.169,971.8919830520454,442.05905894866623,68.73590062049378,1147746.9988490045,3,15.220631869165231,114783061,121,1.0,0
S6,mid,2055,1826.5726166228285,6194.042553191487,1068.6241299533551,134.641,1203.2651299533552,623.3074866694733,65.87557039906173,2493197.1856941646,6,17.13258004114476,249336610,125,1.0,0
S6,mid,2060,2275.9,6335.600907029496,1213.532365658838,169.511,1383.043365658838,892.8566343411621,60.76907446104126,4320011.644170943,4,12.48742819772025,432022687,132,1.0,0
S7,high,2025,43.71,1261.7190721006984,35.02094303255569,0.0,35.02094303255569,8.689056967444309,80.12112338722419,0.0,0,0.0,0,96,1.0,0
S7,high,2030,377.85,3873.0158730158746,256.20422451641707,1.873,258.07722451641706,119.77277548358296,68.30150179076804,89254.1468747022,1,0.3121666666666667,8924845,97,1.0,0
S7,high,2035,764.5077348249665,5530.158730158732,492.4148422501824,12.685,505.0998422501824,259.4078925747841,66.06863727360779,604478.8324108901,1,2.1141666666666667,60444025,103,1.0,0
S7,high,2040,1208.0391309061158,6843.174603174606,758.0923006745386,28.68,786.7723006745385,421.2668302315773,65.12804763902002,1228858.6974680875,3,4.214333333333334,122878468,101,1.0,0
S7,high,2045,1701.826400661629,8156.19047619048,1034.385792558693,65.945,1100.330792558693,601.4956081029359,64.65587748144647,2040659.0958179971,3,6.311666666666666,204057636,114,1.0,0
S7,high,2050,2235.3677871918785,9469.206349206353,1331.6438440034478,108.396,1440.0398440034478,795.3279431884307,64.42071198549657,2931336.8688174156,4,10.536091836749018,293128888,121,1.0,0
S7,high,2055,2793.0007304076207,10782.222222222226,1642.827909092569,154.902,1797.729909092569,995.2708213150518,64.36553666171801,3895133.223268325,4,15.760802691430595,389517075,125,1.0,0
S7,high,2060,3352.5,12095.2380952381,1955.113378001876,204.042,2159.155378001876,1193.3446219981238,64.40433640572338,4869055.766448574,4,20.552396548156278,486918839,132,1.0,0
S7,low,2025,4.38,1261.7190721006984,3.986098644930716,0.0,3.986098644930716,0.3939013550692838,91.00681837741361,0.0,0,0.0,0,96,1.0,0
S7,low,2030,56.85,1452.3809523809548,44.93407123401472,0.0,44.93407123401472,11.915928765985278,79.03970313810858,0.0,0,0.0,0,97,1.0,0
S7,low,2035,129.50392510095097,2073.8095238095275,96.18943843977424,0.0,96.18943843977424,33.31448666117673,74.2753073814501,0.0,0,0.0,0,103,1.0,0
