scenario,tier,year,demand_10kt,supply_10kt,local_direct_10kt,pipeline_served_10kt,served_10kt,unserved_10kt,demand_met_pct,pipeline_delivery_share_pct,pipeline_tonne_km,average_pipeline_distance_km,edges_used,max_edge_util_pct,min_cost_objective
S6,high,2040,1248.347590529,6843.174603174,810.4604760041,51.204,861.6644760041,386.6831145254,69.02440334255,4.101742206135,110133732.0686,215.0881416854,3,7.101931233421,11013385802
S6,high,2045,1784.560415152,8156.190476191,1115.087147726,102.065,1217.152147726,567.408267426,68.20459186429,5.719335648903,200587986.6071,196.5296493481,3,14.61470256471,20058827424
S6,high,2050,2380.098943922,9469.206349207,1445.077431843,161.709,1606.786431843,773.3125120785,67.50922838509,6.794213341969,313078724.5249,193.6062461118,4,23.07145481125,31307932066
S6,high,2055,3026.077336564,10782.22222222,1791.7758808,237.729,2029.5048808,996.5724557649,67.06718484279,7.856012043299,510316677.0015,214.6631992738,10,31.41353111275,51031765365
S6,high,2060,3710.1,12095.23809524,2138.735153818,340.301,2479.036153818,1231.063846182,66.81858046461,9.172286461281,1061370169.008,311.8915809851,11,39.30295082679,106137177085
S6,low,2025,5.122,1261.719072101,4.712533355037,0,4.712533355037,0.409466644963,92.00572735332,0,0,0,0,0,0
S6,low,2030,62.53,1452.380952381,50.71634612143,0,50.71634612143,11.81365387857,81.10722232757,0,0,0,0,0,0
S6,low,2035,149.8899365435,2073.809523809,114.1749863781,0,114.1749863781,35.71495016537,76.17254967947,0,0,0,0,0,0
S6,low,2040,267.2104233788,2566.190476191,198.0595647023,0.779,198.8385647023,68.37185867657,74.41272768778,0.2915305436628,531867.4802491,68.27567140553,1,0.131125887719,53187004
S6,low,2045,412.9839534348,3058.571428571,295.0452720598,8.346,303.3912720598,109.5926813749,73.46321074621,2.020901764,9949866.226204,119.2171845939,2,1.56584088739,994991764
S6,low,2050,585.3695351212,3550.952380952,400.9682791725,23.54,424.5082791725,160.8612559487,72.5197082702,4.021391375471,25019505.63783,106.285070679,2,4.266416696834,2501963600
S6,low,2055,782.4173273088,4043.333333333,516.2169887512,42.116,558.3329887512,224.0843385576,71.35999795296,5.382805125861,43299863.44762,102.8109588936,2,7.167962141509,4330008964
S6,low,2060,1002.35,4535.714285714,641.8895479698,63.787,705.6765479698,296.6734520302,70.40220960441,6.363745198783,64515548.34227,101.1421580295,2,10.06692763824,6451588580
S6,mid,2025,25.16,1261.719072101,21.19891443937,0,21.19891443937,3.961085560627,84.25641669067,0,0,0,0,0,0
S6,mid,2030,201.36,2224.924012158,147.234034336,0,147.234034336,54.12596566395,73.11980251095,0,0,0,0,0,0
S6,mid,2035,432.1015602506,3460.045836516,308.4844125577,1.807,310.2914125577,121.8101476929,71.80983386817,0.4181887237232,1952629.034873,108.0591607567,2,0.3058995499386,195263888
S6,mid,2040,713.1023872235,4635.698924731,490.0692621759,17.229,507.2982621759,205.8041250477,71.13961070177,2.416062589144,18387369.34408,106.723369575,2,3.313183320804,1838746512
S6,mid,2045,1041.54635783,5525.161290323,685.7791198966,46.44,732.2191198966,309.3272379332,70.30115504626,4.458754970519,57335602.50361,123.4616763644,3,8.247962747599,5733582416
S6,mid,2050,1413.951042001,5924.583651642,879.722983052,92.169,971.891983052,442.0590589487,68.73590062049,6.518542528146,124938397.0687,135.5535994409,3,15.22063186917,12493879306
S6,mid,2055,1826.572616623,6194.042553192,1068.624129953,165.469,1234.093129953,592.4794866695,67.5633215303,9.058988320208,456599230.1894,275.9424606358,11,22.37937311025,45660004005
S6,mid,2060,2275.9,6335.60090703,1213.532365659,276.318,1489.850365659,786.0496343411,65.46203109358,12.14104310383,1086295736.083,393.1324546656,10,39.55027854319,108629717587
S7,high,2025,43.71,1261.719072101,35.02094303256,0,35.02094303256,8.689056967444,80.12112338722,0,0,0,0,0,0
S7,high,2030,377.85,3873.015873016,256.2042245164,1.873,258.0772245164,119.7727754836,68.30150179077,0.4956993515945,9561636.598663,510.4984836446,1,0.3121666666667,956162754
S7,high,2035,764.507734825,5530.158730158,492.4148422502,12.685,505.0998422502,259.4078925748,66.06863727361,1.659237627322,64756732.65032,510.4984836446,1,2.114166666667,6475667130
S7,high,2040,1208.039130906,6843.174603174,758.0923006745,28.68,786.7723006745,421.2668302316,65.12804763902,2.374095281044,131727264.3416,459.3000848731,3,4.214333333333,13172715620
S7,high,2045,1701.826400662,8156.190476191,1034.385792559,65.945,1100.330792559,601.4956081029,64.65587748145,3.874954576703,219279265.2223,332.5184096176,3,6.311666666667,21927921884
S7,high,2050,2235.367787192,9469.206349207,1331.643844003,108.396,1440.039844003,795.3279431885,64.4207119855,4.849134921827,316923796.0806,292.3759143147,4,10.53609183675,31692389138
S7,high,2055,2793.000730408,10782.22222222,1642.827909093,154.902,1797.729909093,995.270821315,64.36553666172,5.546078034049,424333980.5736,273.9370573483,4,15.76080269143,42433430526
S7,high,2060,3352.5,12095.23809524,1955.113378002,204.042,2159.155378002,1193.344621998,64.40433640572,6.086263982103,533043661.6954,261.2421274519,4,20.55239654816,53304424074
S7,low,2025,4.38,1261.719072101,3.986098644931,0,3.986098644931,0.3939013550693,91.00681837741,0,0,0,0,0,0
S7,low,2030,56.85,1452.380952381,44.93407123401,0,44.93407123401,11.91592876599,79.03970313811,0,0,0,0,0,0
S7,low,2035,129.503925101,2073.809523809,96.18943843977,0,96.18943843977,33.31448666118,74.27530738145,0,0,0,0,0,0
S7,low,2040,223.0169614804,2566.190476191,161.9728754134,0,161.9728754134,61.04408606699,72.62805229621,0,0,0,0,0,0
S7,low,2045,336.0122418467,3058.571428571,240.5733819794,0,240.5733819794,95.43885986733,71.59661227138,0,0,0,0,0,0
S7,low,2050,466.8002571718,3550.952380952,327.2751356158,2.511,329.7861356158,137.014121556,70.64823348939,0.537917441437,1843381.007944,73.41222652107,2,0.4134838778452,184338996
S7,low,2055,613.5894519846,4043.333333333,419.3741665477,9.906,429.2801665477,184.3092854368,69.96211638895,1.614434532399,11406898.03452,115.1514035385,2,1.685958613681,1140695712
