scenario,tier,year,segment_id,from_node_id,to_node_id,flow_10kt,capacity_10kt,flow_to_capacity_pct,distance_km
S6,high,2060,S014,N133,N078,25.291,972.968053464459,2.5993659205917434,4.206035336869822
S6,high,2060,S032,N132,N133,32.964,691.8298716318395,4.764755231260373,2.0908149952548554
S6,high,2060,S034,N018,N057,55.498,695.8883450140861,7.975129975610759,5.3727797621738445
S6,high,2060,S047,N069,N127,2.804,763.5963694015209,0.36720970821242555,3.641649111212651
S6,high,2060,S115,N067,N053,186.571,633.6292689510332,29.44482036141834,0.6109355782786213
S6,high,2060,S116,N053,N046,46.289,639.9646516167563,7.233055745041405,0.6388577846860636
S6,low,2040,S116,N053,N046,0.779,594.0855871798838,0.1311258877189569,0.6388577846860636
S6,low,2045,S115,N067,N053,8.346,533.0043471983331,1.56584088739044,0.6109355782786213
S6,low,2045,S116,N053,N046,6.275,599.3703686137759,1.0469319687112366,0.6388577846860636
S6,low,2050,S115,N067,N053,23.54,551.7510752633809,4.26641669683436,0.6109355782786213
S6,low,2050,S116,N053,N046,13.24,607.2788165492509,2.1802176593667206,0.6388577846860636
S6,low,2055,S115,N067,N053,42.116,587.5589068210993,7.167962141508909,0.6109355782786213
S6,low,2055,S116,N053,N046,21.545,618.6191010252712,3.482756992839745,0.6388577846860636
S6,low,2060,S115,N067,N053,63.787,633.6292689510332,10.06692763823848,0.6109355782786213
S6,low,2060,S116,N053,N046,31.072,639.9646516167563,4.855268165437285,0.6388577846860636
S6,mid,2035,S115,N067,N053,1.059,510.7553069775432,0.2073399895278155,0.6109355782786213
S6,mid,2035,S116,N053,N046,1.807,590.7167893391488,0.30589954993856544,0.6388577846860636
S6,mid,2040,S115,N067,N053,17.229,520.0134834621572,3.3131833208039883,0.6109355782786213
S6,mid,2040,S116,N053,N046,9.801,594.0855871798838,1.6497622920840773,0.6388577846860636
S6,mid,2045,S051,N127,N109,2.478,600.0,0.41300000000000003,4.765304157752386
S6,mid,2045,S115,N067,N053,43.962,533.0043471983331,8.247962747598674,0.6109355782786213
S6,mid,2045,S116,N053,N046,21.739,599.3703686137759,3.6269727598109283,0.6388577846860636
S6,mid,2050,S051,N127,N109,8.189,600.0,1.3648333333333333,4.765304157752386
S6,mid,2050,S115,N067,N053,83.98,551.7510752633809,15.220631869165231,0.6109355782786213
S6,mid,2050,S116,N053,N046,38.264,607.2788165492509,6.300894903172825,0.6388577846860636
S6,mid,2055,S014,N133,N078,11.845,770.3517308641887,1.537609318630615,4.206035336869822
S6,mid,2055,S032,N132,N133,17.962,365.5451329729143,4.913757120473254,2.0908149952548554
S6,mid,2055,S034,N018,N057,14.524,687.1686941372941,2.1136003610051173,5.3727797621738445
S6,mid,2055,S047,N069,N127,1.491,698.3694510236027,0.21349731117457044,3.641649111212651
S6,mid,2055,S115,N067,N053,100.664,587.5589068210993,17.13258004114476,0.6109355782786213
S6,mid,2055,S116,N053,N046,26.58,618.6191010252712,4.296666552317495,0.6388577846860636
S6,mid,2060,S014,N133,N078,29.652,972.968053464459,3.0475820757339127,4.206035336869822
S6,mid,2060,S032,N132,N133,69.07,691.8298716318395,9.9836683601248,2.0908149952548554
S6,mid,2060,S034,N018,N057,21.317,695.8883450140861,3.0632787792369913,5.3727797621738445
S6,mid,2060,S115,N067,N053,79.124,633.6292689510332,12.48742819772025,0.6109355782786213
S7,high,2030,S051,N127,N109,1.873,600.0,0.3121666666666667,4.765304157752386
S7,high,2035,S051,N127,N109,12.685,600.0,2.1141666666666667,4.765304157752386
S7,high,2040,S051,N127,N109,25.286,600.0,4.214333333333334,4.765304157752386
S7,high,2040,S115,N067,N053,3.394,520.0134834621572,0.6526753839926136,0.6109355782786213
S7,high,2040,S116,N053,N046,0.496,594.0855871798838,0.08348965379794944,0.6388577846860636
S7,high,2045,S051,N127,N109,37.87,600.0,6.311666666666666,4.765304157752386
S7,high,2045,S115,N067,N053,28.075,533.0043471983331,5.267311635931775,0.6109355782786213
S7,high,2045,S116,N053,N046,10.099,599.3703686137759,1.6849348130700843,0.6388577846860636
S7,high,2050,S034,N018,N057,6.976,679.0523626601046,1.027314001629031,5.3727797621738445
S7,high,2050,S051,N127,N109,43.287,600.0,7.2145,4.765304157752386
S7,high,2050,S115,N067,N053,58.133,551.7510752633809,10.536091836749018,0.6109355782786213
S7,high,2050,S116,N053,N046,21.698,607.2788165492509,3.572988124844344,0.6388577846860636
S7,high,2055,S034,N018,N057,22.371,687.1686941372941,3.2555324756296806,5.3727797621738445
S7,high,2055,S051,N127,N109,39.927,600.0,6.6545,4.765304157752386
S7,high,2055,S115,N067,N053,92.604,587.5589068210993,15.760802691430595,0.6109355782786213
S7,high,2055,S116,N053,N046,35.187,618.6191010252712,5.687991195500214,0.6388577846860636
S7,high,2060,S034,N018,N057,38.415,695.8883450140861,5.520282136529016,5.3727797621738445
S7,high,2060,S051,N127,N109,35.401,600.0,5.900166666666667,4.765304157752386
S7,high,2060,S115,N067,N053,130.226,633.6292689510332,20.552396548156278,0.6109355782786213
S7,high,2060,S116,N053,N046,50.487,639.9646516167563,7.889029475683324,0.6388577846860636
S7,low,2050,S115,N067,N053,0.19,551.7510752633809,0.034435818708518626,0.6109355782786213
S7,low,2050,S116,N053,N046,2.511,607.2788165492509,0.4134838778451538,0.6388577846860636
S7,low,2055,S115,N067,N053,9.906,587.5589068210993,1.6859586136809586,0.6109355782786213
S7,low,2055,S116,N053,N046,6.858,618.6191010252712,1.1085981646272902,0.6388577846860636
S7,low,2060,S115,N067,N053,21.357,633.6292689510332,3.3705829333541195,0.6109355782786213
S7,low,2060,S116,N053,N046,11.829,639.9646516167563,1.8483833396291727,0.6388577846860636
S7,mid,2040,S051,N127,N109,2.136,600.0,0.35600000000000004,4.765304157752386
S7,mid,2045,S051,N127,N109,5.693,600.0,0.9488333333333333,4.765304157752386
S7,mid,2045,S115,N067,N053,9.934,533.0043471983331,1.8637746675457258,0.6109355782786213
S7,mid,2045,S116,N053,N046,5.193,599.3703686137759,0.866409197373299,0.6388577846860636
S7,mid,2050,S051,N127,N109,11.256,600.0,1.876,4.765304157752386
S7,mid,2050,S115,N067,N053,36.436,551.7510752633809,6.603702581387287,0.6109355782786213
S7,mid,2050,S116,N053,N046,15.288,607.2788165492509,2.5174597867370414,0.6388577846860636
S7,mid,2055,S051,N127,N109,17.003,600.0,2.833833333333333,4.765304157752386
S7,mid,2055,S115,N067,N053,68.358,587.5589068210993,11.63423772602493,0.6109355782786213
S7,mid,2055,S116,N053,N046,27.034,618.6191010252712,4.370055815475965,0.6388577846860636
S7,mid,2060,S034,N018,N057,13.252,695.8883450140861,1.9043284881760385,5.3727797621738445
S7,mid,2060,S051,N127,N109,9.474,600.0,1.579,4.765304157752386
S7,mid,2060,S115,N067,N053,52.789,633.6292689510332,8.33121236450956,0.6109355782786213
S8,high,2030,S051,N127,N109,2.054,600.0,0.3423333333333333,4.765304157752386
S8,high,2035,S051,N127,N109,13.043,600.0,2.173833333333333,4.765304157752386
S8,high,2040,S051,N127,N109,25.829,600.0,4.304833333333334,4.765304157752386
S8,high,2040,S115,N067,N053,3.207,520.0134834621572,0.6167147779800564,0.6109355782786213
S8,high,2040,S116,N053,N046,1.693,594.0855871798838,0.28497577395146856,0.6388577846860636
S8,high,2045,S051,N127,N109,38.558,600.0,6.426333333333334,4.765304157752386
S8,high,2045,S115,N067,N053,27.031,533.0043471983331,5.071440813210038,0.6109355782786213
S8,high,2045,S116,N053,N046,11.476,599.3703686137759,1.9146759000685503,0.6388577846860636
S8,high,2050,S034,N018,N057,8.993,679.0523626601046,1.324345587249122,5.3727797621738445
S8,high,2050,S051,N127,N109,42.018,600.0,7.003,4.765304157752386
S8,high,2050,S115,N067,N053,55.293,551.7510752633809,10.021366967632213,0.6109355782786213
