scenario,year,plan,region,demand_10kt,local_direct_10kt,pipeline_served_10kt,served_demand_10kt,unserved_demand_10kt,demand_satisfaction_pct,baseline_demand_satisfaction_pct,optimized_2060_demand_10kt,optimized_2060_served_demand_10kt,optimized_2060_demand_satisfaction_pct,connector_gain_2060_pp
S1,2055,baseline,华北,347.7819275171848,261.80387209884043,0.0,261.80387209884043,85.97805541834435,75.27817042359224,75.27817042359224,347.7819275171848,347.78190865017086,99.99999457504475,24.72182415145251
S1,2060,baseline,华北,347.7819275171848,261.99460865017085,0.0,261.99460865017085,85.78731886701391,75.3330141449702,75.3330141449702,347.7819275171848,347.78190865017086,99.99999457504475,24.666980430074545
S1,2025,baseline,华南,461.9347030625076,28.8817680455069,0.0,28.8817680455069,433.0529350170007,6.252348622874239,6.252348622874239,461.9347030625076,435.46912730290495,94.27071064716664,88.0183620242924
S1,2030,baseline,华南,461.9347030625076,49.827349387052216,0.0,49.827349387052216,412.1073536754554,10.786665097190095,10.786665097190095,461.9347030625076,435.46912730290495,94.27071064716664,83.48404554997654
S1,2035,baseline,华南,461.9347030625076,77.34490893136291,0.0,77.34490893136291,384.5897941311447,16.743688754836164,16.743688754836164,461.9347030625076,435.46912730290495,94.27071064716664,77.52702189233048
S1,2040,baseline,华南,461.9347030625076,107.00973306928226,0.0,107.00973306928226,354.9249699932253,23.1655539970986,23.1655539970986,461.9347030625076,435.46912730290495,94.27071064716664,71.10515665006804
S1,2045,baseline,华南,461.9347030625076,126.93151303976522,0.0,126.93151303976522,335.0031900227424,27.478237118415684,27.478237118415684,461.9347030625076,435.46912730290495,94.27071064716664,66.79247352875095
S1,2050,baseline,华南,461.9347030625076,130.86131651724887,0.0,130.86131651724887,331.0733865452587,28.328964169540022,28.328964169540022,461.9347030625076,435.46912730290495,94.27071064716664,65.94174647762662
S1,2055,baseline,华南,461.9347030625076,133.6300781933144,0.0,133.6300781933144,328.30462486919316,28.928347947747064,28.928347947747064,461.9347030625076,435.46912730290495,94.27071064716664,65.34236269941957
S1,2060,baseline,华南,461.9347030625076,135.25622730290496,0.0,135.25622730290496,326.67847575960263,29.280378028797394,29.280378028797394,461.9347030625076,435.46912730290495,94.27071064716664,64.99033261836925
S1,2025,baseline,西北,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,
S1,2030,baseline,西北,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,
S1,2035,baseline,西北,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,
S1,2040,baseline,西北,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,
S1,2045,baseline,西北,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,
S1,2050,baseline,西北,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,
S1,2055,baseline,西北,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,
S1,2060,baseline,西北,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,
S1,2025,baseline,西南,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,
S1,2030,baseline,西南,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,
S1,2035,baseline,西南,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,
S1,2040,baseline,西南,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,
S1,2045,baseline,西南,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,
S1,2050,baseline,西南,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,
S1,2055,baseline,西南,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,
S1,2060,baseline,西南,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,
S2,2025,baseline,东北,17.558841541789153,17.558841541789153,0.0,17.558841541789153,0.0,100.0,100.0,17.558841541789153,17.558841541789153,100.0,0.0
S2,2030,baseline,东北,17.558841541789153,17.558841541789153,0.0,17.558841541789153,0.0,100.0,100.0,17.558841541789153,17.558841541789153,100.0,0.0
