scenario,tier,year,pipeline_delivery_10kt,pipeline_tonne_km,average_pipeline_distance_km,unit_saving_vs_rail_cny_t,unit_saving_vs_road_cny_t,annual_cost_saving_vs_rail_100m_cny,annual_cost_saving_vs_road_100m_cny,annual_emission_saving_vs_rail_10kt_co2e,annual_emission_saving_vs_road_10kt_co2e,scope
S1,high,2025,4.1434,7844983.452142798,189.33685987698024,59.641110861248784,112.65543162680326,0.02471169787424982,0.04667765154024966,0.03265866611127047,0.07525692625640587,transport operation only; identical delivered task
S5,mid,2040,391.4279,1931583637.8483808,493.47111890807497,155.44340245604366,293.61531575030466,6.0844884592224,11.492922645197869,8.04118268436281,18.52968183787952,transport operation only; identical delivered task
S5,mid,2045,514.7747,2514261733.6767235,488.41983370136944,153.8522476159314,290.6098010523149,7.91992446108168,14.959857315376507,10.466871597296201,24.11931281116081,transport operation only; identical delivered task
S5,mid,2050,669.2964,4167233588.457408,622.6290158526788,196.12813999359386,370.46426443234395,13.126785803640837,24.795039851321583,17.34819342874819,39.976271814071914,transport operation only; identical delivered task
S5,mid,2055,843.3947,8050715993.665168,954.5608946398606,300.6866818115561,567.9637323107172,25.359755380045286,47.90176016230776,33.515130681628094,77.23051852722996,transport operation only; identical delivered task
S5,mid,2060,1008.7354,13368903273.377537,1325.3131865281557,417.4736537563691,788.5613459842527,42.11204531113925,79.54497447659635,55.65474432707069,128.2478891015107,transport operation only; identical delivered task
S6,high,2025,7.9129,29077164.50837031,367.46533519152666,115.75158058533091,218.64187443895838,0.09159306820136649,0.17300912882480338,0.12104823584834562,0.27893723912879637,transport operation only; identical delivered task
S6,high,2030,301.2805,2114641793.0758896,701.8847197465119,221.09368672015128,417.62140824917464,6.661121648189053,12.582118668801543,8.803253784574927,20.28575872097701,transport operation only; identical delivered task
S6,high,2035,542.7384,5455551556.098325,1005.1898955552666,316.634817099909,598.0879878553837,17.184987401709726,32.46053175878504,22.711461128037325,52.33510607765123,transport operation only; identical delivered task
S6,high,2040,788.3256,9297393730.927402,1179.384981399488,371.50626914083875,701.7340639326954,29.286790252421323,55.31949269901805,38.70505010185078,89.18989806078659,transport operation only; identical delivered task
S6,high,2045,1077.0216,15183313651.062576,1409.750152741837,444.0712981136787,838.8013408813931,47.82743800084712,90.34071622382234,63.20813472937351,145.6535278546433,transport operation only; identical delivered task
S6,high,2050,1181.8609,17322778325.911674,1465.7205704928283,461.701979705241,872.1037394432329,54.56675172662178,103.07053103917448,72.1147261707703,166.1774124804707,transport operation only; identical delivered task
S6,high,2055,1309.5297,20419919831.954723,1559.3323184617136,491.1896803154399,927.8027294847197,64.32274747065739,121.49852300013062,85.00812626042752,195.88829094794167,transport operation only; identical delivered task
S6,high,2060,1386.8653,22614820559.709583,1630.6429009154376,513.652513788363,970.2325260446855,71.23668476308521,134.55818233027205,94.145497990071,216.94397362929405,transport operation only; identical delivered task
S6,low,2025,1.1345,3127644.4995106827,275.6848390930527,86.84072431431161,164.03247926036636,0.009852080173458653,0.018609484772088566,0.013020384051462972,0.03000349368380598,transport operation only; identical delivered task
S6,low,2030,14.3671,46074834.878095575,320.69683428176575,101.01950279875624,190.81461639765064,0.1451357298660011,0.2741452675246687,0.19180953759751188,0.4419958909855709,transport operation only; identical delivered task
