管段ID,管道名称,起点节点,终点节点,起点节点ID,终点节点ID,起点经度_WGS84,起点纬度_WGS84,终点经度_WGS84,终点纬度_WGS84,设计输量_万吨年,投产年份,管段方向,坐标说明
S102,绍杭成品油管道,绍兴,萧山,N111,N120,120.5800044,30.05145821,120.2048484,30.24977957,500.0,2016,绍兴首站/浙江绍兴 → 萧山站/浙江萧山,节点坐标为城市点位或别名映射后的地级市点位
S103,甬台温成品油管道,算山,宁海,N110,N043,121.6219554,29.8607673,121.6219554,29.8607673,460.0,2018,算山首站/浙江宁波 → 宁海分输站,节点坐标为城市点位或别名映射后的地级市点位
S104,甬台温成品油管道,宁海,临海,N043,N008,121.6219554,29.8607673,121.4197134,28.66043016,460.0,2018,宁海分输站 → 临海分输泵站,节点坐标为城市点位或别名映射后的地级市点位
S105,甬台温成品油管道,临海,灵昆,N008,N099,121.4197134,28.66043016,120.6794261,28.01154027,460.0,2018,临海分输泵站 → 灵昆分输站,节点坐标为城市点位或别名映射后的地级市点位
S106,甬台温成品油管道,灵昆,瑞安,N099,N104,120.6794261,28.01154027,120.6794261,28.01154027,460.0,2018,灵昆分输站 → 瑞安末站/浙江温州,节点坐标为城市点位或别名映射后的地级市点位
S107,福建成品油管道（北线）,泉港,兴闽,N085,N019,118.6751351,24.87843187,119.2915964,26.07737918,220.0,2010,泉港首站/福建泉州 → 兴闽末站/福建福州,节点坐标为城市点位或别名映射后的地级市点位
S108,福建成品油管道（南线）,泉港,东孚,N085,N005,118.6751351,24.87843187,118.0810222,24.48114183,380.0,2013,泉港首站/福建泉州 → 东孚末站/福建厦门,节点坐标为城市点位或别名映射后的地级市点位
S109,福建成品油管道（南线）,泉港,石湖山,N085,N107,118.6751351,24.87843187,118.0810222,24.48114183,380.0,2013,泉港首站/福建泉州 → 石湖山末站/福建厦门,节点坐标为城市点位或别名映射后的地级市点位
S110,鲁皖一期管道,齐鲁,淄博,N152,N091,118.050415,36.81483572,118.050415,36.81483572,655.0,2005,齐鲁站 → 淄博站,节点坐标为城市点位或别名映射后的地级市点位
S111,鲁皖一期管道,淄博,济南,N091,N089,118.050415,36.81483572,116.9954885,36.64792998,655.0,2005,淄博站 → 济南站,节点坐标为城市点位或别名映射后的地级市点位
S112,鲁皖一期管道,济南,泰安,N089,N086,116.9954885,36.64792998,117.0815513,36.20000913,655.0,2005,济南站 → 泰安站,节点坐标为城市点位或别名映射后的地级市点位
S113,鲁皖一期管道,泰安,曲阜,N086,N065,117.0815513,36.20000913,116.5836833,35.41651785,655.0,2005,泰安站 → 曲阜站,节点坐标为城市点位或别名映射后的地级市点位
S114,鲁皖一期管道,曲阜,枣庄,N065,N067,116.5836833,35.41651785,117.3160283,34.81395871,655.0,2005,曲阜站 → 枣庄站,节点坐标为城市点位或别名映射后的地级市点位
